,record_id,user_id,datetime,current_pb,ever_pb,final_time,pps,inputs,score,pieces_placed,singles,doubles,triples,quads,all_clears,finesse_faults,finesse_perf
28,671912203adf9d97900d1918,62a51397bf6ce5ce2e84b6cd,2024-10-23T15:11:28.636Z,False,False,28503.333333333332,4.701754385964913,476,38226,134,0,0,0,0,0,2,133
29,6718273256b6ee7267957b43,62a51397bf6ce5ce2e84b6cd,2024-10-22T22:29:06.194Z,False,False,26641.666666666668,5.068836045056321,464,38093,135,0,0,0,0,0,0,135
30,6717b56692af27fe5fd2052c,62a51397bf6ce5ce2e84b6cd,2024-10-22T14:23:34.325Z,False,False,20033.333333333332,5.041597337770383,313,13360,101,2,1,1,8,0,0,101
31,6717b4242c84b6f1ce3a0e59,62a51397bf6ce5ce2e84b6cd,2024-10-22T14:18:12.783Z,False,False,60183.333333333336,2.409304901689283,413,13377,145,9,1,0,7,0,22,136
32,6717b30f2350374f19b4d3d9,62a51397bf6ce5ce2e84b6cd,2024-10-22T14:13:35.182Z,False,False,31721.666666666668,3.3736205990541253,256,14414,107,0,0,0,10,0,0,107
33,6717b1d492af27fe5fd1fd38,62a51397bf6ce5ce2e84b6cd,2024-10-22T14:08:20.177Z,False,False,27838.333333333332,4.994011976047904,468,38229,139,0,0,0,0,0,0,139
34,6716674cca2dd935f8e84591,62a51397bf6ce5ce2e84b6cd,2024-10-21T14:38:04.388Z,False,False,26080,5.140664961636829,470,38096,134,0,0,0,0,0,2,133
35,6715728b2350374f19b4867e,62a51397bf6ce5ce2e84b6cd,2024-10-20T21:13:47.922Z,False,False,72201.66666666667,1.8698060941828254,406,10339,135,0,14,0,3,0,26,129
36,6715721a3adf9d97900ca22c,62a51397bf6ce5ce2e84b6cd,2024-10-20T21:11:54.662Z,False,False,55335,2.728915662650602,553,11831,151,9,0,1,7,0,28,147
37,671571052350374f19b4864c,62a51397bf6ce5ce2e84b6cd,2024-10-20T21:07:17.286Z,False,False,28105,3.9145907473309607,335,13959,110,5,5,1,5,0,1,109
38,671532356342213894ee787a,62a51397bf6ce5ce2e84b6cd,2024-10-20T16:39:17.381Z,False,False,25830,5.384118786313751,476,38229,139,0,0,0,0,0,0,139
39,67152ffa1f194bcc548ce80c,62a51397bf6ce5ce2e84b6cd,2024-10-20T16:29:46.331Z,False,False,17586.666666666668,5.7440758293838865,290,11660,101,7,3,1,6,0,0,101
40,671465114592153cf67ae117,62a51397bf6ce5ce2e84b6cd,2024-10-20T02:04:01.262Z,False,False,84291.66666666667,1.4830927427328455,457,35459,125,0,0,0,0,0,12,121
41,6714335e92af27fe5fcc77aa,62a51397bf6ce5ce2e84b6cd,2024-10-19T22:31:58.654Z,False,False,103830,1.3196339701396693,527,35199,137,0,0,0,0,0,3,134
42,67142a1092af27fe5fcc6be5,62a51397bf6ce5ce2e84b6cd,2024-10-19T21:52:16.679Z,False,False,23526.666666666668,5.6555634301913535,460,38133,133,0,0,0,0,0,2,132
43,6713f82bc517b7f394370bde,62a51397bf6ce5ce2e84b6cd,2024-10-19T18:19:23.153Z,False,False,15523.333333333334,6.7669172932330826,325,13781,105,4,1,1,8,0,0,105
44,6713f734c517b7f394370bb9,62a51397bf6ce5ce2e84b6cd,2024-10-19T18:15:16.891Z,False,False,27246.666666666668,5.067319461444308,454,38100,138,0,0,0,0,0,2,137
45,6713f62692af27fe5fcc25ea,62a51397bf6ce5ce2e84b6cd,2024-10-19T18:10:46.032Z,False,False,29933.333333333332,4.510022271714922,477,37672,135,0,0,0,1,0,3,133
46,6713060a9c06340f55c11bf2,62a51397bf6ce5ce2e84b6cd,2024-10-19T01:06:18.792Z,False,False,30133.333333333332,4.513274336283186,472,38189,136,0,0,0,0,0,5,134
47,671302712c84b6f1ce397eb8,62a51397bf6ce5ce2e84b6cd,2024-10-19T00:50:57.195Z,False,False,27000,5.074074074074074,485,38257,137,0,0,0,0,0,3,135
48,6712b8df2350374f19b430ba,62a51397bf6ce5ce2e84b6cd,2024-10-18T19:37:03.333Z,False,False,14168.333333333334,7.341176470588236,305,13291,104,4,2,0,8,0,0,104
